time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252,252,251,251,89,0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,22400220,153600500,7443228,176000700,29772910,15488600,0
1,558.1909,592.405,597.0078,597.0078,597.0095,597.0078,572.3746,572.3746,572.3753,572.3743,373.2452,508.0112,990.1218,1021.404,246.4426,246.4426,246.4403,246.443,89,53.92847,15601150,15535450,15486680,15486680,15486680,15486680,15598350,15598350,15598350,15598350,4571800,3055601,3055959,3055959,3055960,3055959,22530410,154494100,39061490,177024500,156246000,15542120,493.9999
2,558.1561,590.0295,597.0173,597.0173,597.0178,597.0173,567.0344,567.0344,567.0329,567.0322,373.2493,508.9532,1003.117,992.7388,248.2805,248.2805,248.2806,248.2812,89,73.1627,15646100,15580510,15531100,15531100,15531100,15531100,15642600,15642600,15642600,15642600,4630985,3107644,3108707,3108707,3108707,3108707,22413030,153689400,52496540,176102400,209986100,15505260,1182.386
3,558.0963,589.7197,596.8734,596.8734,596.8735,596.8734,561.5942,561.5942,561.5928,561.5921,373.2507,509.423,1007.029,992.754,251.5586,251.5586,251.5586,251.5587,89,83.44443,15613960,15548420,15499020,15499020,15499020,15499020,15610140,15610140,15610140,15610140,4651666,3133849,3135019,3135019,3135019,3135019,22409110,153661000,54429020,176070100,217716100,15412390,2872.481
4,558.3802,589.6378,596.1777,596.1777,596.1777,596.1777,559.2966,559.2966,559.2965,559.2964,373.2507,509.4786,1008.258,1001.398,253.3897,253.3897,253.3898,253.3899,89,85.26678,15507640,15442140,15392660,15392660,15392660,15392660,15503970,15503970,15503970,15503970,4651034,3136961,3138234,3138234,3138235,3138235,22367280,153373900,54782820,175741200,219131300,15331860,4839.624
5,559.178,589.7698,594.7651,594.7651,594.7651,594.7651,557.8381,557.8381,557.8377,557.8375,373.2509,509.5616,1012.068,1008.708,255.0091,255.0091,255.0092,255.0092,89,87.32762,15434040,15368380,15318450,15318450,15318450,15318450,15430440,15430440,15430440,15430440,4653712,3141616,3142886,3142886,3142887,3142887,22311520,152992000,54728820,175303500,218915300,15275460,199905.5
6,560.1527,590.2722,593.0504,593.0504,593.0504,593.0504,556.4176,556.4176,556.4174,556.4174,373.2505,509.5137,1016.416,1016.011,256.4289,256.4289,256.429,256.429,89,86.64777,15402250,15336340,15285910,15285910,15285910,15285910,15398670,15398670,15398670,15398670,4649381,3138932,3140179,3140179,3140180,3140180,22288300,152833100,54084190,175121400,216336800,15243110,5776928
7,560.8395,590.9991,591.6452,591.6452,591.6452,591.6452,555.0953,555.0953,555.0952,555.0952,373.2502,509.4382,1018.773,1022.781,257.6521,257.6521,257.6522,257.6522,89,85.41636,15396310,15330230,15279450,15279450,15279450,15279450,15392750,15392750,15392750,15392750,4643882,3134704,3135915,3135915,3135917,3135917,22314050,153009800,53374510,175323800,213498000,15230330,8465947
8,561.017,591.6301,590.759,590.759,590.759,590.759,554.1368,554.1368,554.1368,554.1368,373.25,509.4059,1019.902,1026.884,258.0227,258.0227,258.0228,258.0228,89,85.12988,15392930,15326740,15275690,15275690,15275690,15275690,15389340,15389340,15389340,15389340,4641794,3132896,3134118,3134118,3134124,3134124,22378840,153454400,53110930,175833200,212443700,15227960,9446092
9,560.6712,591.9055,590.3751,590.3751,590.3751,590.3751,553.4156,553.4156,553.4156,553.4156,373.2501,509.4094,1018.298,1031.135,258.6937,258.6937,258.6937,258.6937,89,85.66789,15392060,15325800,15274800,15274800,15274800,15274800,15388470,15388470,15388470,15388470,4642158,3133089,3134314,3134314,3134314,3134314,22441900,153886400,53212480,176328300,212849900,15224130,9802988
