time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0,558.1688,596.9468,596.5775,596.5775,596.5775,596.5775,558.1667,558.1667,558.1667,558.1667,373.15,507.0723,1006.1,1006.1,252.0,252.0,251.0,251.0,89,0.0,15533600,15517400,15499000,15499000,15499000,15499000,15518000,15518000,15518000,15518000,3190000,3004400,3000000,3000000,3000000,3000000,19600200,134400400,7443228,154000600,29772910,15488600,0.0
1,558.183,590.1882,596.985,596.985,596.9868,596.985,572.4741,572.474,572.436,572.4395,373.2452,508.0056,984.2612,1025.562,247.3136,247.3136,247.2948,247.2974,89,53.79156,15578640,15512640,15464280,15464280,15464280,15464280,15575830,15575830,15575830,15575830,4571997,3055296,3055661,3055661,3055632,3055632,19812680,135858300,39240670,155671000,156962700,15497290,308.1199
2,558.1219,586.3908,596.916,596.916,596.9164,596.916,567.0447,567.0447,567.0414,567.0419,373.2493,508.9526,1000.028,997.3323,249.5859,249.5859,249.5858,249.5861,89,73.15559,15549660,15483850,15435060,15435060,15435060,15435060,15546340,15546340,15546340,15546340,4630964,3107612,3108675,3108675,3108675,3108675,19612490,134485500,52488620,154098000,209954500,15413700,1573.222
3,558.0546,585.8613,596.7203,596.7203,596.7204,596.7203,561.6342,561.6342,561.6329,561.6331,373.2507,509.4283,1007.525,995.9112,252.4263,252.4263,252.4262,252.4263,89,83.5393,15487320,15421600,15372650,15372650,15372650,15372650,15483650,15483650,15483650,15483650,4652026,3134145,3135315,3135315,3135315,3135315,19608460,134456800,54468580,154065300,217874300,15300060,4095.798
4,558.3544,585.761,595.7753,595.7753,595.7753,595.7753,559.2603,559.2603,559.2603,559.2603,373.2506,509.4716,1011.004,1004.584,254.4562,254.4562,254.4563,254.4563,89,85.15212,15386490,15320750,15271520,15271520,15271520,15271520,15382920,15382920,15382920,15382920,4650537,3136571,3137839,3137839,3137839,3137839,19568160,134180300,54695920,153748400,218783700,15217260,2620376.0
5,559.1786,585.8989,593.7174,593.7174,593.7174,593.7174,557.5795,557.5795,557.5792,557.5792,373.2507,509.5313,1016.603,1013.411,256.7643,256.7643,256.7644,256.7644,89,86.80743,15326740,15260710,15210810,15210810,15210810,15210810,15323240,15323240,15323240,15323240,4651596,3139916,3141168,3141168,3141168,3141168,19512260,133797300,54421040,153309500,217684200,15165860,7506211.0
6,560.1699,586.4084,591.2169,591.2169,591.2169,591.2169,555.6959,555.6959,555.6958,555.6958,373.2502,509.4525,1022.178,1022.99,258.9746,258.9746,258.9746,258.9746,89,85.60297,15293630,15227220,15176680,15176680,15176680,15176680,15290190,15290190,15290190,15290190,4645076,3135501,3136718,3136718,3136718,3136718,19486890,133623500,53487450,153110400,213949800,15131040,9104519.0
7,560.8538,587.1572,589.0875,589.0875,589.0875,589.0875,553.871,553.871,553.871,553.871,373.2497,509.3317,1025.739,1032.06,260.7508,260.7508,260.7509,260.7508,89,83.63178,15279510,15212780,15161790,15161790,15161790,15161790,15276110,15276110,15276110,15276110,4636572,3128744,3129900,3129900,3129900,3129900,19515050,133816600,52331580,153331700,209326300,15114380,9681471.0
8,560.9935,587.7966,587.6618,587.6618,587.6618,587.6618,552.4392,552.4392,552.4392,552.4392,373.2495,509.2809,1026.949,1039.059,261.8571,261.8571,261.8571,261.8571,89,83.13419,15264680,15197760,15146520,15146520,15146520,15146520,15261300,15261300,15261300,15261300,4633300,3125908,3127046,3127046,3127046,3127046,19579960,134261700,51986700,153841700,207946800,15099140,9712213.0
9,560.5537,588.0388,586.9567,586.9567,586.9567,586.9567,551.2966,551.2966,551.2966,551.2966,373.2495,509.3036,1026.435,1043.859,262.4554,262.4554,262.4554,262.4554,89,84.15781,15240950,15173920,15122620,15122620,15122620,15122620,15237560,15237560,15237560,15237560,4634438,3127177,3128350,3128350,3128350,3128350,19653310,134764700,52178760,154418000,208715000,15074190,9871232.0
10,559.6262,587.7731,586.8112,586.8112,586.8112,586.8112,550.4609,550.4609,550.4609,550.4609,373.2496,509.3305,1025.275,1046.674,262.5482,262.5482,262.5482,262.5482,89,84.89822,15200190,15133090,15081870,15081870,15081870,15081870,15196760,15196760,15196760,15196760,4635982,3128676,3129866,3129866,3129866,3129866,19716040,135194800,52446690,154910800,209786800,15034350,9978449.0
11,558.3538,587.0451,587.0313,587.0313,587.0313,587.0313,549.9955,549.9955,549.9955,549.9955,373.2503,509.4678,1024.286,1047.424,262.4063,262.4063,262.4063,262.4063,89,87.82806,15139790,15072660,15021600,15021600,15021600,15021600,15136300,15136300,15136300,15136300,4645921,3136357,3137630,3137630,3137630,3137630,19759330,135491700,53977840,155251000,215911400,14976660,10017540.0
12,556.9246,585.9852,587.4042,587.4042,587.4042,587.4042,549.5032,549.5032,549.5032,549.5032,373.2503,509.4469,1024.064,1047.351,261.9247,261.9247,261.9247,261.9247,89,88.29558,15065790,14998620,14947720,14947720,14947720,14947720,15062250,15062250,15062250,15062250,4645688,3135188,3136426,3136426,3136426,3136426,19782460,135650200,53348450,155432700,213393800,14901000,10035770.0
