time000000000,tempf012010000,tempf020010000,tempf114010000,tempf124010000,tempf134010000,tempf144010000,tempf117010000,tempf127010000,tempf137010000,tempf147010000,tempf202010000,tempf250010000,mflowj022010000,mflowj010010000,mflowj112010000,mflowj122010000,mflowj132010000,mflowj142010000,mflowj201000000,mflowj255000000,p010010000,p022010000,p110010000,p120010000,p130010000,p140010000,p112010000,p122010000,p132010000,p142010000,p204010000,p250010000,p218010000,p228010000,p238010000,p248010000,cntrlvar000000101,cntrlvar000000102,cntrlvar000000104,cntrlvar000000103,cntrlvar000000105,p026050000,q026010000
0.00E+00,5.58E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.58E+02,5.58E+02,5.58E+02,5.58E+02,3.73E+02,5.07E+02,1.01E+03,1.01E+03,2.52E+02,2.52E+02,2.51E+02,2.51E+02,8.90E+01,0.00E+00,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,3.19E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,3.00E+06,5.60E+06,3.84E+07,7.44E+06,4.40E+07,2.98E+07,1.55E+07,0.00E+00
1.00E+00,5.58E+02,5.79E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.73E+02,5.73E+02,5.73E+02,5.73E+02,3.73E+02,5.08E+02,9.58E+02,1.04E+03,2.51E+02,2.51E+02,2.51E+02,2.51E+02,8.90E+01,5.33E+01,1.55E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.54E+07,1.55E+07,1.55E+07,1.55E+07,1.55E+07,4.58E+06,3.05E+06,3.05E+06,3.05E+06,3.05E+06,3.05E+06,6.23E+06,4.27E+07,4.24E+07,4.90E+07,1.69E+08,1.53E+07,3.57E+03
2.00E+00,5.58E+02,5.68E+02,5.97E+02,5.97E+02,5.97E+02,5.97E+02,5.67E+02,5.67E+02,5.67E+02,5.67E+02,3.73E+02,5.09E+02,9.87E+02,1.02E+03,2.55E+02,2.55E+02,2.55E+02,2.55E+02,8.90E+01,7.33E+01,1.52E+07,1.52E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,1.52E+07,1.52E+07,1.52E+07,1.52E+07,4.63E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,3.11E+06,5.62E+06,3.85E+07,5.25E+07,4.41E+07,2.10E+08,1.51E+07,2.92E+06
3.00E+00,5.58E+02,5.66E+02,5.96E+02,5.96E+02,5.96E+02,5.96E+02,5.62E+02,5.62E+02,5.62E+02,5.62E+02,3.73E+02,5.09E+02,1.01E+03,1.01E+03,2.57E+02,2.57E+02,2.57E+02,2.57E+02,8.90E+01,8.43E+01,1.51E+07,1.50E+07,1.50E+07,1.50E+07,1.50E+07,1.50E+07,1.51E+07,1.51E+07,1.51E+07,1.51E+07,4.66E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,5.61E+06,3.84E+07,5.49E+07,4.41E+07,2.20E+08,1.49E+07,7.59E+06
4.00E+00,5.58E+02,5.66E+02,5.94E+02,5.94E+02,5.94E+02,5.94E+02,5.59E+02,5.59E+02,5.59E+02,5.59E+02,3.73E+02,5.09E+02,1.02E+03,1.02E+03,2.59E+02,2.59E+02,2.59E+02,2.59E+02,8.90E+01,8.47E+01,1.49E+07,1.49E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,1.49E+07,1.49E+07,1.49E+07,1.49E+07,4.65E+06,3.13E+06,3.14E+06,3.14E+06,3.14E+06,3.14E+06,5.56E+06,3.82E+07,5.43E+07,4.37E+07,2.17E+08,1.48E+07,9.24E+06
5.00E+00,5.59E+02,5.66E+02,5.89E+02,5.89E+02,5.89E+02,5.89E+02,5.57E+02,5.57E+02,5.57E+02,5.57E+02,3.73E+02,5.09E+02,1.03E+03,1.03E+03,2.64E+02,2.64E+02,2.64E+02,2.64E+02,8.90E+01,8.45E+01,1.48E+07,1.47E+07,1.47E+07,1.47E+07,1.47E+07,1.47E+07,1.48E+07,1.48E+07,1.48E+07,1.48E+07,4.64E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,3.13E+06,5.50E+06,3.77E+07,5.31E+07,4.32E+07,2.12E+08,1.47E+07,9.79E+06
6.00E+00,5.60E+02,5.67E+02,5.83E+02,5.83E+02,5.83E+02,5.83E+02,5.53E+02,5.53E+02,5.53E+02,5.53E+02,3.73E+02,5.09E+02,1.05E+03,1.05E+03,2.70E+02,2.70E+02,2.70E+02,2.70E+02,8.90E+01,7.98E+01,1.47E+07,1.47E+07,1.46E+07,1.46E+07,1.46E+07,1.46E+07,1.47E+07,1.47E+07,1.47E+07,1.47E+07,4.62E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,3.12E+06,5.47E+06,3.75E+07,5.00E+07,4.30E+07,2.00E+08,1.46E+07,9.95E+06
7.00E+00,5.61E+02,5.68E+02,5.77E+02,5.77E+02,5.77E+02,5.77E+02,5.48E+02,5.48E+02,5.48E+02,5.48E+02,3.73E+02,5.09E+02,1.06E+03,1.07E+03,2.74E+02,2.74E+02,2.74E+02,2.74E+02,8.90E+01,7.45E+01,1.47E+07,1.46E+07,1.46E+07,1.46E+07,1.46E+07,1.46E+07,1.47E+07,1.47E+07,1.47E+07,1.47E+07,4.60E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,5.51E+06,3.78E+07,4.75E+07,4.33E+07,1.90E+08,1.45E+07,9.75E+06
8.00E+00,5.61E+02,5.68E+02,5.73E+02,5.73E+02,5.73E+02,5.73E+02,5.44E+02,5.44E+02,5.44E+02,5.44E+02,3.73E+02,5.09E+02,1.06E+03,1.09E+03,2.77E+02,2.77E+02,2.77E+02,2.77E+02,8.90E+01,7.30E+01,1.46E+07,1.46E+07,1.45E+07,1.45E+07,1.45E+07,1.45E+07,1.46E+07,1.46E+07,1.46E+07,1.46E+07,4.59E+06,3.09E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,5.60E+06,3.84E+07,4.59E+07,4.40E+07,1.84E+08,1.45E+07,9.90E+06
9.00E+00,5.60E+02,5.69E+02,5.71E+02,5.71E+02,5.71E+02,5.71E+02,5.41E+02,5.41E+02,5.41E+02,5.41E+02,3.73E+02,5.09E+02,1.06E+03,1.10E+03,2.79E+02,2.79E+02,2.79E+02,2.79E+02,8.90E+01,7.47E+01,1.46E+07,1.45E+07,1.44E+07,1.44E+07,1.44E+07,1.44E+07,1.46E+07,1.46E+07,1.46E+07,1.46E+07,4.60E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,3.10E+06,5.71E+06,3.91E+07,4.67E+07,4.48E+07,1.87E+08,1.44E+07,1.00E+07
